[*] Looking for AMF container process...
    pid=146560
    exe=/proc/146560/exe

    cgroup_id=26258

[*] Attaching uprobes...
[*] Attaching tracepoints...
  [tp]     syscalls/sys_enter_connect
  [tp]     syscalls/sys_exit_connect
  [tp]     syscalls/sys_enter_accept4
  [tp]     syscalls/sys_exit_accept4
  [tp]     syscalls/sys_enter_write
  [tp]     syscalls/sys_exit_read

[*] Tracing AMF (pid=146560). Ctrl+C to stop.

NF    API
────  ────────────────────────────────
[06:22:29.767201] AMF   WRITE    55     bytes  pid=146560
[06:22:29.767320] AMF   READ     61     bytes  pid=146560
[06:22:29.767826] AMF   WRITE    9      bytes  pid=146560
[06:22:29.780943] AMF   READ     63     bytes  pid=146560
[06:22:29.781020] AMF   READ     153    bytes  pid=146560
[06:22:29.781128] AMF   WRITE    146    bytes  pid=146560
[06:22:29.781159] AMF   WRITE    150    bytes  pid=146560
[06:22:29.781180] AMF   WRITE    150    bytes  pid=146560
[06:22:29.781269] AMF   WRITE    141    bytes  pid=146560
[06:22:29.781300] AMF   WRITE    8      bytes  pid=146560
[06:22:29.781312] AMF   READ     8      bytes  pid=146560
[06:22:29.781988] AMF   WRITE    114    bytes  pid=146560
[06:22:29.782015] AMF   WRITE    169    bytes  pid=146560
[06:22:29.782069] AMF   WRITE    140    bytes  pid=146560
[06:22:29.782081] AMF   WRITE    152    bytes  pid=146560
[06:22:29.782120] AMF   WRITE    133    bytes  pid=146560
[06:22:29.782232] AMF   WRITE    133    bytes  pid=146560
[06:22:29.782253] AMF   WRITE    153    bytes  pid=146560
[06:22:29.782263] AMF   WRITE    140    bytes  pid=146560
[06:22:29.782313] AMF   WRITE    142    bytes  pid=146560
[06:22:29.782330] AMF   WRITE    150    bytes  pid=146560
[06:22:29.782393] AMF   READ     17     bytes  pid=146560
[06:22:29.782556] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:29.782581] AMF   WRITE    44     bytes  pid=146560
[06:22:29.782583] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:29.782597] AMF   WRITE    44     bytes  pid=146560
[06:22:29.782786] AMF   READ     64     bytes  pid=146560
[06:22:29.782788] AMF   WRITE    120    bytes  pid=146560
[06:22:29.782841] AMF   READ     33     bytes  pid=146560
[06:22:29.783082] AMF   CONNECT  → 10.100.200.4:8000       pid=146560
[06:22:29.783161] AMF   WRITE    70     bytes  pid=146560
[06:22:29.783282] AMF   WRITE    128    bytes  pid=146560
[06:22:29.783326] AMF   WRITE    132    bytes  pid=146560
[06:22:29.784047] AMF   WRITE    172    bytes  pid=146560
[06:22:29.784078] AMF   WRITE    131    bytes  pid=146560
[06:22:29.784329] AMF   READ     39     bytes  pid=146560
[06:22:29.784346] AMF   WRITE    9      bytes  pid=146560
[06:22:29.784416] AMF   READ     22     bytes  pid=146560
[06:22:29.788340] AMF   READ     63     bytes  pid=146560
[06:22:29.788524] AMF   READ     626    bytes  pid=146560
[06:22:29.788678] AMF   WRITE    541    bytes  pid=146560
[06:22:29.790379] AMF   READ     17     bytes  pid=146560
[06:22:29.790520] AMF   READ     1688   bytes  pid=146560
[06:22:29.790741] AMF   WRITE    21     bytes  pid=146560
[06:22:29.790767] AMF   WRITE    131    bytes  pid=146560
[06:22:29.794917] AMF   READ     17     bytes  pid=146560
[06:22:29.795076] AMF   READ     623    bytes  pid=146560
[06:22:29.795295] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:29.795313] AMF   WRITE    44     bytes  pid=146560
[06:22:29.795361] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:29.795382] AMF   WRITE    44     bytes  pid=146560
[06:22:29.795461] AMF   READ     33     bytes  pid=146560
[06:22:29.795491] AMF   WRITE    8      bytes  pid=146560
[06:22:29.795501] AMF   READ     8      bytes  pid=146560
[06:22:29.795505] AMF   READ     64     bytes  pid=146560
[06:22:29.795633] AMF   CONNECT  → 10.100.200.9:8000       pid=146560
[06:22:29.795689] AMF   WRITE    70     bytes  pid=146560
[06:22:29.795805] AMF   WRITE    612    bytes  pid=146560
[06:22:29.795849] AMF   READ     39     bytes  pid=146560
[06:22:29.795860] AMF   WRITE    9      bytes  pid=146560
[06:22:29.795893] AMF   WRITE    8      bytes  pid=146560
[06:22:29.795918] AMF   READ     8      bytes  pid=146560
[06:22:29.795922] AMF   READ     22     bytes  pid=146560
[06:22:29.796157] AMF   READ     17     bytes  pid=146560
[06:22:29.803604] AMF   READ     62     bytes  pid=146560
[06:22:29.803644] AMF   READ     99     bytes  pid=146560
[06:22:29.803719] AMF   WRITE    122    bytes  pid=146560
[06:22:29.803740] AMF   WRITE    193    bytes  pid=146560
[06:22:29.803755] AMF   WRITE    193    bytes  pid=146560
[06:22:29.803926] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:29.803926] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:29.803943] AMF   WRITE    44     bytes  pid=146560
[06:22:29.803943] AMF   WRITE    44     bytes  pid=146560
[06:22:29.804109] AMF   READ     33     bytes  pid=146560
[06:22:29.804147] AMF   WRITE    8      bytes  pid=146560
[06:22:29.804162] AMF   READ     8      bytes  pid=146560
[06:22:29.804193] AMF   READ     64     bytes  pid=146560
[06:22:29.804326] AMF   CONNECT  → 10.100.200.4:8000       pid=146560
[06:22:29.804383] AMF   WRITE    70     bytes  pid=146560
[06:22:29.804458] AMF   WRITE    128    bytes  pid=146560
[06:22:29.804490] AMF   WRITE    132    bytes  pid=146560
[06:22:29.804648] AMF   READ     39     bytes  pid=146560
[06:22:29.804667] AMF   WRITE    9      bytes  pid=146560
[06:22:29.804693] AMF   READ     22     bytes  pid=146560
[06:22:29.805584] AMF   READ     17     bytes  pid=146560
[06:22:29.807776] AMF   READ     63     bytes  pid=146560
[06:22:29.807861] AMF   READ     626    bytes  pid=146560
[06:22:29.808049] AMF   WRITE    541    bytes  pid=146560
[06:22:29.810074] AMF   READ     1705   bytes  pid=146560
[06:22:29.810370] AMF   WRITE    18     bytes  pid=146560
[06:22:29.810790] AMF   WRITE    132    bytes  pid=146560
[06:22:29.816202] AMF   READ     13     bytes  pid=146560
[06:22:29.816375] AMF   READ     626    bytes  pid=146560
[06:22:29.816678] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:29.816679] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:29.816697] AMF   WRITE    44     bytes  pid=146560
[06:22:29.816716] AMF   WRITE    44     bytes  pid=146560
[06:22:29.816851] AMF   READ     64     bytes  pid=146560
[06:22:29.816890] AMF   READ     33     bytes  pid=146560
[06:22:29.817119] AMF   CONNECT  → 10.100.200.9:8000       pid=146560
[06:22:29.817213] AMF   WRITE    70     bytes  pid=146560
[06:22:29.817435] AMF   READ     17     bytes  pid=146560
[06:22:29.817492] AMF   READ     39     bytes  pid=146560
[06:22:29.817578] AMF   WRITE    593    bytes  pid=146560
[06:22:29.817665] AMF   WRITE    309    bytes  pid=146560
[06:22:29.817788] AMF   WRITE    9      bytes  pid=146560
[06:22:29.817832] AMF   READ     22     bytes  pid=146560
[06:22:29.818470] AMF   READ     17     bytes  pid=146560
[06:22:29.820058] AMF   WRITE    8      bytes  pid=146560
[06:22:29.820289] AMF   READ     8      bytes  pid=146560
[06:22:29.828792] AMF   READ     62     bytes  pid=146560
[06:22:29.828833] AMF   READ     309    bytes  pid=146560
[06:22:29.829126] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:29.829126] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:29.829143] AMF   WRITE    44     bytes  pid=146560
[06:22:29.829143] AMF   WRITE    44     bytes  pid=146560
