[*] Looking for AMF container process...
    pid=146560
    exe=/proc/146560/exe

    cgroup_id=26258

[*] Attaching uprobes...
[*] Attaching tracepoints...
  [tp]     syscalls/sys_enter_connect
  [tp]     syscalls/sys_exit_connect
  [tp]     syscalls/sys_enter_accept4
  [tp]     syscalls/sys_exit_accept4
  [tp]     syscalls/sys_enter_write
  [tp]     syscalls/sys_exit_read

[*] Tracing AMF (pid=146560). Ctrl+C to stop.

NF    API
────  ────────────────────────────────
[06:22:30.174642] AMF   READ     644    bytes  pid=146560
[06:22:30.174990] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:30.174990] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:30.175019] AMF   WRITE    45     bytes  pid=146560
[06:22:30.175037] AMF   WRITE    45     bytes  pid=146560
[06:22:30.175245] AMF   READ     66     bytes  pid=146560
[06:22:30.175248] AMF   READ     34     bytes  pid=146560
[06:22:30.175434] AMF   CONNECT  → 10.100.200.5:8000       pid=146560
[06:22:30.175523] AMF   WRITE    70     bytes  pid=146560
[06:22:30.175674] AMF   WRITE    807    bytes  pid=146560
[06:22:30.175757] AMF   READ     17     bytes  pid=146560
[06:22:30.175825] AMF   WRITE    8      bytes  pid=146560
[06:22:30.175844] AMF   READ     8      bytes  pid=146560
[06:22:30.176035] AMF   READ     39     bytes  pid=146560
[06:22:30.176049] AMF   WRITE    9      bytes  pid=146560
[06:22:30.176094] AMF   READ     22     bytes  pid=146560
[06:22:30.176631] AMF   READ     62     bytes  pid=146560
[06:22:30.176735] AMF   READ     56     bytes  pid=146560
[06:22:30.176829] AMF   WRITE    197    bytes  pid=146560
[06:22:30.177049] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:30.177069] AMF   WRITE    44     bytes  pid=146560
[06:22:30.177116] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:30.177141] AMF   WRITE    44     bytes  pid=146560
[06:22:30.177216] AMF   READ     33     bytes  pid=146560
[06:22:30.177249] AMF   WRITE    8      bytes  pid=146560
[06:22:30.177262] AMF   READ     8      bytes  pid=146560
[06:22:30.177279] AMF   READ     64     bytes  pid=146560
[06:22:30.177442] AMF   CONNECT  → 10.100.200.4:8000       pid=146560
[06:22:30.177552] AMF   WRITE    70     bytes  pid=146560
[06:22:30.177796] AMF   READ     39     bytes  pid=146560
[06:22:30.177827] AMF   WRITE    128    bytes  pid=146560
[06:22:30.177887] AMF   READ     17     bytes  pid=146560
[06:22:30.177980] AMF   WRITE    132    bytes  pid=146560
[06:22:30.178128] AMF   WRITE    9      bytes  pid=146560
[06:22:30.178184] AMF   READ     22     bytes  pid=146560
[06:22:30.181803] AMF   READ     63     bytes  pid=146560
[06:22:30.181987] AMF   READ     626    bytes  pid=146560
[06:22:30.182284] AMF   WRITE    665    bytes  pid=146560
[06:22:30.184387] AMF   READ     1751   bytes  pid=146560
[06:22:30.184733] AMF   WRITE    21     bytes  pid=146560
[06:22:30.184779] AMF   WRITE    138    bytes  pid=146560
[06:22:30.184829] AMF   WRITE    8      bytes  pid=146560
[06:22:30.184843] AMF   READ     8      bytes  pid=146560
[06:22:30.189700] AMF   READ     657    bytes  pid=146560
[06:22:30.190096] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:30.190096] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:30.190121] AMF   WRITE    44     bytes  pid=146560
[06:22:30.190121] AMF   WRITE    44     bytes  pid=146560
[06:22:30.190282] AMF   READ     64     bytes  pid=146560
[06:22:30.190322] AMF   READ     33     bytes  pid=146560
[06:22:30.190467] AMF   CONNECT  → 10.100.200.6:8000       pid=146560
[06:22:30.190524] AMF   WRITE    70     bytes  pid=146560
[06:22:30.190639] AMF   WRITE    646    bytes  pid=146560
[06:22:30.190691] AMF   WRITE    1077   bytes  pid=146560
[06:22:30.190913] AMF   READ     61     bytes  pid=146560
[06:22:30.190967] AMF   READ     17     bytes  pid=146560
[06:22:30.191041] AMF   WRITE    9      bytes  pid=146560
[06:22:30.370019] AMF   READ     135    bytes  pid=146560
[06:22:30.370197] AMF   READ     56     bytes  pid=146560
[06:22:30.370332] AMF   WRITE    165    bytes  pid=146560
[06:22:30.370396] AMF   WRITE    114    bytes  pid=146560
[06:22:30.370651] AMF   WRITE    169    bytes  pid=146560
[06:22:30.370787] AMF   WRITE    129    bytes  pid=146560
[06:22:30.370812] AMF   WRITE    147    bytes  pid=146560
[06:22:30.370822] AMF   WRITE    153    bytes  pid=146560
[06:22:30.370839] AMF   WRITE    177    bytes  pid=146560
[06:22:30.371285] AMF   READ     17     bytes  pid=146560
[06:22:30.371374] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:30.371427] AMF   WRITE    44     bytes  pid=146560
[06:22:30.371461] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:30.371483] AMF   WRITE    44     bytes  pid=146560
[06:22:30.372643] AMF   READ     64     bytes  pid=146560
[06:22:30.372693] AMF   READ     33     bytes  pid=146560
[06:22:30.373099] AMF   CONNECT  → 10.100.200.4:8000       pid=146560
[06:22:30.373413] AMF   WRITE    70     bytes  pid=146560
[06:22:30.373577] AMF   WRITE    128    bytes  pid=146560
[06:22:30.373649] AMF   WRITE    141    bytes  pid=146560
[06:22:30.374067] AMF   READ     39     bytes  pid=146560
[06:22:30.374078] AMF   WRITE    9      bytes  pid=146560
[06:22:30.374233] AMF   READ     22     bytes  pid=146560
[06:22:30.382597] AMF   READ     63     bytes  pid=146560
[06:22:30.382691] AMF   WRITE    8      bytes  pid=146560
[06:22:30.382710] AMF   READ     8      bytes  pid=146560
[06:22:30.382901] AMF   READ     644    bytes  pid=146560
[06:22:30.383300] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:30.383325] AMF   WRITE    45     bytes  pid=146560
[06:22:30.383386] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:30.383400] AMF   WRITE    45     bytes  pid=146560
[06:22:30.383734] AMF   READ     34     bytes  pid=146560
[06:22:30.383735] AMF   READ     66     bytes  pid=146560
[06:22:30.384052] AMF   CONNECT  → 10.100.200.5:8000       pid=146560
[06:22:30.384146] AMF   READ     17     bytes  pid=146560
[06:22:30.385111] AMF   WRITE    70     bytes  pid=146560
[06:22:30.385286] AMF   WRITE    807    bytes  pid=146560
[06:22:30.385432] AMF   READ     39     bytes  pid=146560
[06:22:30.385450] AMF   WRITE    9      bytes  pid=146560
[06:22:30.385518] AMF   READ     22     bytes  pid=146560
[06:22:30.386316] AMF   READ     62     bytes  pid=146560
[06:22:30.386360] AMF   READ     56     bytes  pid=146560
[06:22:30.386453] AMF   WRITE    197    bytes  pid=146560
[06:22:30.386723] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:30.386748] AMF   WRITE    44     bytes  pid=146560
[06:22:30.386792] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:30.386814] AMF   WRITE    44     bytes  pid=146560
[06:22:30.386950] AMF   READ     33     bytes  pid=146560
[06:22:30.387041] AMF   READ     64     bytes  pid=146560
[06:22:30.387258] AMF   CONNECT  → 10.100.200.4:8000       pid=146560
[06:22:30.387346] AMF   WRITE    70     bytes  pid=146560
[06:22:30.387595] AMF   WRITE    128    bytes  pid=146560
[06:22:30.387730] AMF   READ     17     bytes  pid=146560
[06:22:30.387766] AMF   WRITE    132    bytes  pid=146560
[06:22:30.388445] AMF   READ     39     bytes  pid=146560
[06:22:30.388503] AMF   WRITE    9      bytes  pid=146560
[06:22:30.388609] AMF   READ     22     bytes  pid=146560
[06:22:30.390338] AMF   ACCEPT   ← 10.100.200.6:44496      pid=146560  fd=35
[06:22:30.390722] AMF   READ     715    bytes  pid=146560
[06:22:30.390885] AMF   WRITE    8      bytes  pid=146560
[06:22:30.390899] AMF   READ     8      bytes  pid=146560
[06:22:30.390905] AMF   WRITE    39     bytes  pid=146560
[06:22:30.390964] AMF   WRITE    22     bytes  pid=146560
[06:22:30.391191] AMF   READ     1237   bytes  pid=146560
[06:22:30.391426] AMF   READ     9      bytes  pid=146560
[06:22:30.391434] AMF   READ     899    bytes  pid=146560
[06:22:30.391448] AMF   READ     9      bytes  pid=146560
[06:22:30.391632] AMF   WRITE    99     bytes  pid=146560
[06:22:30.391724] AMF   API      AMFN1N2MessageTransfer    pid=146560 tid=146949
[06:22:30.391782] AMF   WRITE    162    bytes  pid=146560
[06:22:30.391963] AMF   WRITE    160    bytes  pid=146560
[06:22:30.394089] AMF   READ     63     bytes  pid=146560
[06:22:30.394122] AMF   WRITE    62     bytes  pid=146560
[06:22:30.394239] AMF   WRITE    8      bytes  pid=146560
[06:22:30.394271] AMF   READ     626    bytes  pid=146560
[06:22:30.394277] AMF   WRITE    45     bytes  pid=146560
[06:22:30.394297] AMF   READ     8      bytes  pid=146560
[06:22:30.394700] AMF   WRITE    665    bytes  pid=146560
[06:22:30.395407] AMF   WRITE    17     bytes  pid=146560
[06:22:30.403614] AMF   READ     17     bytes  pid=146560
[06:22:30.403843] AMF   READ     1734   bytes  pid=146560
[06:22:30.404190] AMF   WRITE    21     bytes  pid=146560
[06:22:30.404242] AMF   WRITE    138    bytes  pid=146560
[06:22:30.410436] AMF   READ     17     bytes  pid=146560
[06:22:30.410725] AMF   READ     640    bytes  pid=146560
[06:22:30.411114] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:30.411114] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:30.411138] AMF   WRITE    44     bytes  pid=146560
[06:22:30.411166] AMF   WRITE    44     bytes  pid=146560
[06:22:30.411457] AMF   READ     33     bytes  pid=146560
[06:22:30.411481] AMF   READ     64     bytes  pid=146560
[06:22:30.411902] AMF   CONNECT  → 10.100.200.6:8000       pid=146560
[06:22:30.411992] AMF   WRITE    70     bytes  pid=146560
[06:22:30.412479] AMF   READ     61     bytes  pid=146560
[06:22:30.412578] AMF   WRITE    646    bytes  pid=146560
[06:22:30.413206] AMF   READ     17     bytes  pid=146560
[06:22:30.413331] AMF   WRITE    1077   bytes  pid=146560
[06:22:30.414604] AMF   WRITE    9      bytes  pid=146560
[06:22:30.642970] AMF   READ     135    bytes  pid=146560
[06:22:30.643210] AMF   READ     56     bytes  pid=146560
[06:22:30.643376] AMF   WRITE    165    bytes  pid=146560
[06:22:30.643509] AMF   WRITE    127    bytes  pid=146560
[06:22:30.643533] AMF   WRITE    140    bytes  pid=146560
[06:22:30.643551] AMF   WRITE    182    bytes  pid=146560
[06:22:30.643790] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:30.643790] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:30.643827] AMF   WRITE    44     bytes  pid=146560
[06:22:30.643859] AMF   WRITE    44     bytes  pid=146560
[06:22:30.644164] AMF   READ     64     bytes  pid=146560
[06:22:30.644332] AMF   READ     33     bytes  pid=146560
[06:22:30.644332] AMF   READ     17     bytes  pid=146560
[06:22:30.644423] AMF   WRITE    8      bytes  pid=146560
[06:22:30.644520] AMF   READ     8      bytes  pid=146560
[06:22:30.644737] AMF   CONNECT  → 10.100.200.4:8000       pid=146560
[06:22:30.644863] AMF   WRITE    70     bytes  pid=146560
[06:22:30.645138] AMF   WRITE    128    bytes  pid=146560
[06:22:30.645219] AMF   WRITE    138    bytes  pid=146560
[06:22:30.647493] AMF   READ     39     bytes  pid=146560
[06:22:30.647518] AMF   WRITE    9      bytes  pid=146560
[06:22:30.647606] AMF   READ     22     bytes  pid=146560
[06:22:30.650580] AMF   ACCEPT   ← 10.100.200.6:44498      pid=146560  fd=38
[06:22:30.650699] AMF   READ     1623   bytes  pid=146560
[06:22:30.650808] AMF   WRITE    8      bytes  pid=146560
[06:22:30.650834] AMF   READ     8      bytes  pid=146560
[06:22:30.650918] AMF   WRITE    39     bytes  pid=146560
[06:22:30.651006] AMF   WRITE    22     bytes  pid=146560
[06:22:30.651174] AMF   READ     9      bytes  pid=146560
[06:22:30.651263] AMF   READ     1237   bytes  pid=146560
[06:22:30.651761] AMF   WRITE    99     bytes  pid=146560
[06:22:30.651780] AMF   API      AMFN1N2MessageTransfer    pid=146560 tid=146962
[06:22:30.651821] AMF   WRITE    162    bytes  pid=146560
[06:22:30.652007] AMF   WRITE    160    bytes  pid=146560
[06:22:30.652203] AMF   WRITE    62     bytes  pid=146560
[06:22:30.652276] AMF   WRITE    8      bytes  pid=146560
[06:22:30.652307] AMF   WRITE    45     bytes  pid=146560
[06:22:30.652363] AMF   READ     8      bytes  pid=146560
[06:22:30.653471] AMF   WRITE    17     bytes  pid=146560
[06:22:30.655807] AMF   READ     63     bytes  pid=146560
[06:22:30.655898] AMF   READ     640    bytes  pid=146560
[06:22:30.656445] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:30.656460] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:30.656485] AMF   WRITE    44     bytes  pid=146560
[06:22:30.656526] AMF   WRITE    44     bytes  pid=146560
[06:22:30.656736] AMF   READ     33     bytes  pid=146560
[06:22:30.656850] AMF   READ     64     bytes  pid=146560
[06:22:30.657227] AMF   READ     17     bytes  pid=146560
[06:22:30.657267] AMF   CONNECT  → 10.100.200.6:8000       pid=146560
[06:22:30.657363] AMF   WRITE    70     bytes  pid=146560
[06:22:30.657590] AMF   WRITE    683    bytes  pid=146560
[06:22:30.657660] AMF   WRITE    639    bytes  pid=146560
[06:22:30.658171] AMF   READ     61     bytes  pid=146560
[06:22:30.658246] AMF   WRITE    9      bytes  pid=146560
[06:22:30.661314] AMF   READ     107    bytes  pid=146560
[06:22:30.661568] AMF   READ     177    bytes  pid=146560
[06:22:30.661739] AMF   WRITE    127    bytes  pid=146560
[06:22:30.661987] AMF   WRITE    140    bytes  pid=146560
[06:22:30.662232] AMF   WRITE    182    bytes  pid=146560
[06:22:30.663059] AMF   READ     17     bytes  pid=146560
[06:22:30.664459] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:30.664498] AMF   WRITE    44     bytes  pid=146560
[06:22:30.664690] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:30.664717] AMF   WRITE    44     bytes  pid=146560
[06:22:30.664901] AMF   READ     64     bytes  pid=146560
[06:22:30.664965] AMF   READ     33     bytes  pid=146560
[06:22:30.665352] AMF   CONNECT  → 10.100.200.4:8000       pid=146560
[06:22:30.665452] AMF   WRITE    70     bytes  pid=146560
[06:22:30.665603] AMF   WRITE    128    bytes  pid=146560
[06:22:30.665642] AMF   WRITE    138    bytes  pid=146560
[06:22:30.665932] AMF   READ     39     bytes  pid=146560
[06:22:30.665956] AMF   WRITE    9      bytes  pid=146560
[06:22:30.666076] AMF   READ     22     bytes  pid=146560
[06:22:30.675675] AMF   READ     63     bytes  pid=146560
[06:22:30.675727] AMF   READ     640    bytes  pid=146560
[06:22:30.676035] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:30.676057] AMF   WRITE    44     bytes  pid=146560
[06:22:30.676460] AMF   READ     33     bytes  pid=146560
[06:22:30.676510] AMF   READ     17     bytes  pid=146560
[06:22:30.676540] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:30.676568] AMF   WRITE    44     bytes  pid=146560
[06:22:30.676732] AMF   READ     64     bytes  pid=146560
[06:22:30.676916] AMF   CONNECT  → 10.100.200.6:8000       pid=146560
[06:22:30.676990] AMF   WRITE    70     bytes  pid=146560
[06:22:30.677172] AMF   WRITE    684    bytes  pid=146560
[06:22:30.677248] AMF   WRITE    639    bytes  pid=146560
[06:22:30.677411] AMF   WRITE    8      bytes  pid=146560
[06:22:30.677425] AMF   READ     8      bytes  pid=146560
[06:22:30.678401] AMF   READ     61     bytes  pid=146560
[06:22:30.678442] AMF   WRITE    9      bytes  pid=146560
[06:22:30.682512] AMF   READ     283    bytes  pid=146560
[06:22:30.682704] AMF   WRITE    8      bytes  pid=146560
[06:22:30.682715] AMF   READ     8      bytes  pid=146560
[06:22:30.683151] AMF   READ     17     bytes  pid=146560
[06:22:30.740358] AMF   WRITE    17     bytes  pid=146560
[06:22:30.740778] AMF   WRITE    8      bytes  pid=146560
[06:22:30.740811] AMF   READ     8      bytes  pid=146560
[06:22:30.783051] AMF   WRITE    17     bytes  pid=146560
[06:22:30.783223] AMF   READ     17     bytes  pid=146560
[06:22:30.805768] AMF   WRITE    17     bytes  pid=146560
[06:22:30.805896] AMF   READ     17     bytes  pid=146560
[06:22:30.818243] AMF   WRITE    17     bytes  pid=146560
[06:22:30.859277] AMF   WRITE    8      bytes  pid=146560
[06:22:30.859293] AMF   READ     8      bytes  pid=146560
[06:22:30.882225] AMF   WRITE    17     bytes  pid=146560
[06:22:30.882327] AMF   READ     17     bytes  pid=146560
[06:22:30.925036] AMF   WRITE    17     bytes  pid=146560
[06:22:30.925203] AMF   READ     17     bytes  pid=146560
[06:22:31.388305] AMF   WRITE    17     bytes  pid=146560
[06:22:31.644967] AMF   WRITE    17     bytes  pid=146560
[06:22:31.645521] AMF   WRITE    8      bytes  pid=146560
[06:22:31.645565] AMF   READ     8      bytes  pid=146560
[06:22:31.658218] AMF   WRITE    17     bytes  pid=146560
[06:22:31.677221] AMF   WRITE    17     bytes  pid=146560
[06:22:31.784347] AMF   WRITE    8      bytes  pid=146560
[06:22:31.784402] AMF   READ     8      bytes  pid=146560
[06:22:31.796681] AMF   WRITE    8      bytes  pid=146560
[06:22:31.796727] AMF   READ     8      bytes  pid=146560
[06:22:31.819323] AMF   WRITE    8      bytes  pid=146560
[06:22:31.819397] AMF   READ     8      bytes  pid=146560
[06:22:31.836641] AMF   WRITE    8      bytes  pid=146560
[06:22:31.836705] AMF   READ     8      bytes  pid=146560
[06:22:31.864991] AMF   WRITE    8      bytes  pid=146560
[06:22:31.865062] AMF   READ     8      bytes  pid=146560
[06:22:31.891925] AMF   WRITE    8      bytes  pid=146560
[06:22:31.891997] AMF   READ     8      bytes  pid=146560
[06:22:31.904915] AMF   WRITE    8      bytes  pid=146560
[06:22:31.904988] AMF   READ     8      bytes  pid=146560
[06:22:31.925424] AMF   WRITE    8      bytes  pid=146560
[06:22:31.925486] AMF   READ     8      bytes  pid=146560
[06:22:31.942986] AMF   WRITE    8      bytes  pid=146560
[06:22:31.943041] AMF   READ     8      bytes  pid=146560
[06:22:32.178769] AMF   WRITE    8      bytes  pid=146560
[06:22:32.178834] AMF   READ     8      bytes  pid=146560
[06:22:32.192234] AMF   WRITE    8      bytes  pid=146560
[06:22:32.192356] AMF   READ     8      bytes  pid=146560
[06:22:32.388969] AMF   WRITE    8      bytes  pid=146560
[06:22:32.388989] AMF   READ     8      bytes  pid=146560
[06:22:32.415162] AMF   WRITE    8      bytes  pid=146560
[06:22:32.415178] AMF   READ     8      bytes  pid=146560
[06:22:32.659441] AMF   WRITE    8      bytes  pid=146560
[06:22:32.659463] AMF   READ     8      bytes  pid=146560
[06:22:32.664623] AMF   WRITE    8      bytes  pid=146560
[06:22:32.664659] AMF   READ     8      bytes  pid=146560
[06:22:32.678841] AMF   WRITE    8      bytes  pid=146560
[06:22:32.678857] AMF   READ     8      bytes  pid=146560
[06:22:42.935568] AMF   WRITE    8      bytes  pid=146560
[06:22:42.935591] AMF   READ     8      bytes  pid=146560

[*] Detaching...
