[*] Looking for NRF container process...
    pid=146207
    exe=/proc/146207/exe
    cgroup_id=25914

[*] Attaching uprobes...
  [uprobe] nrf_nf_register               github.com/free5gc/nrf/internal/sbi/processor.(*Processor).NFRegisterProcedure
  [uprobe] nrf_nf_deregister             github.com/free5gc/nrf/internal/sbi/processor.(*Processor).NFDeregisterProcedure
  [uprobe] nrf_get_nf_inst               github.com/free5gc/nrf/internal/sbi/processor.(*Processor).GetNFInstanceProcedure
  [uprobe] nrf_get_nf_inst_list          github.com/free5gc/nrf/internal/sbi/processor.(*Processor).GetNFInstancesProcedure
  [uprobe] nrf_update_nf_inst            github.com/free5gc/nrf/internal/sbi/processor.(*Processor).UpdateNFInstanceProcedure
  [uprobe] nrf_create_sub                github.com/free5gc/nrf/internal/sbi/processor.(*Processor).CreateSubscriptionProcedure
  [uprobe] nrf_remove_sub                github.com/free5gc/nrf/internal/sbi/processor.(*Processor).RemoveSubscriptionProcedure
  [uprobe] nrf_update_sub                github.com/free5gc/nrf/internal/sbi/processor.(*Processor).UpdateSubscriptionProcedure
  [uprobe] nrf_access_token              github.com/free5gc/nrf/internal/sbi/processor.(*Processor).AccessTokenProcedure
  [uprobe] nrf_nf_discovery              github.com/free5gc/nrf/internal/sbi/processor.(*Processor).NFDiscoveryProcedure
[*] Attaching tracepoints...
  [tp]     syscalls/sys_enter_connect
  [tp]     syscalls/sys_exit_connect
  [tp]     syscalls/sys_enter_accept4
  [tp]     syscalls/sys_exit_accept4
  [tp]     syscalls/sys_enter_write
  [tp]     syscalls/sys_exit_read

[*] Tracing NRF (pid=146207). Ctrl+C to stop.

TIMESTAMP               NF    EVENT      DETAIL
──────────────────────  ────  ─────────  ────────────────────────────────
[03:57:52.816454] NRF   WRITE    85     bytes  pid=146207
[03:57:52.816680] NRF   READ     9      bytes  pid=146207
[03:57:52.816692] NRF   READ     121    bytes  pid=146207
[03:57:52.816719] NRF   READ     9      bytes  pid=146207
[03:57:52.816808] NRF   API      AccessToken               pid=146207 tid=146508
[03:57:52.816983] NRF   WRITE    196    bytes  pid=146207
[03:57:52.817485] NRF   READ     4      bytes  pid=146207
[03:57:52.817511] NRF   READ     1951   bytes  pid=146207
[03:57:52.818619] NRF   READ     1302   bytes  pid=146207
[03:57:52.818732] NRF   WRITE    291    bytes  pid=146207
[03:57:52.818905] NRF   WRITE    157    bytes  pid=146207
[03:57:52.819285] NRF   READ     4      bytes  pid=146207
[03:57:52.819297] NRF   READ     730    bytes  pid=146207
[03:57:52.822737] NRF   WRITE    112    bytes  pid=146207
[03:57:52.822874] NRF   WRITE    62     bytes  pid=146207
[03:57:52.823019] NRF   WRITE    8      bytes  pid=146207
[03:57:52.823055] NRF   WRITE    621    bytes  pid=146207
[03:57:52.824217] NRF   READ     8      bytes  pid=146207
[03:57:52.824253] NRF   WRITE    17     bytes  pid=146207
[03:57:52.824326] NRF   WRITE    8      bytes  pid=146207
[03:57:52.824343] NRF   READ     8      bytes  pid=146207
[03:57:52.829363] NRF   ACCEPT   ← 10.100.200.16:50944     pid=146207  fd=26
[03:57:52.829521] NRF   READ     330    bytes  pid=146207
[03:57:52.829622] NRF   WRITE    8      bytes  pid=146207
[03:57:52.829635] NRF   READ     8      bytes  pid=146207
[03:57:52.829662] NRF   WRITE    39     bytes  pid=146207
[03:57:52.829768] NRF   WRITE    22     bytes  pid=146207
[03:57:52.829876] NRF   WRITE    85     bytes  pid=146207
[03:57:52.829996] NRF   READ     9      bytes  pid=146207
[03:57:52.830119] NRF   API      AccessToken               pid=146207 tid=146508
[03:57:52.830253] NRF   WRITE    196    bytes  pid=146207
[03:57:52.830829] NRF   READ     4      bytes  pid=146207
[03:57:52.830969] NRF   READ     2418   bytes  pid=146207
[03:57:52.833215] NRF   READ     1302   bytes  pid=146207
[03:57:52.833333] NRF   WRITE    291    bytes  pid=146207
[03:57:52.836684] NRF   WRITE    112    bytes  pid=146207
[03:57:52.836899] NRF   WRITE    63     bytes  pid=146207
[03:57:52.836994] NRF   WRITE    8      bytes  pid=146207
[03:57:52.837024] NRF   WRITE    626    bytes  pid=146207
[03:57:52.837201] NRF   READ     8      bytes  pid=146207
[03:57:52.837577] NRF   READ     9      bytes  pid=146207
[03:57:52.837587] NRF   READ     531    bytes  pid=146207
[03:57:52.837764] NRF   READ     1237   bytes  pid=146207
[03:57:52.838126] NRF   WRITE    84     bytes  pid=146207
[03:57:52.838143] NRF   API      NFDiscovery               pid=146207 tid=146207
[03:57:52.838355] NRF   WRITE    511    bytes  pid=146207
[03:57:52.838953] NRF   READ     4      bytes  pid=146207
[03:57:52.838959] NRF   READ     1951   bytes  pid=146207
[03:57:52.840099] NRF   WRITE    192    bytes  pid=146207
[03:57:52.840151] NRF   WRITE    17     bytes  pid=146207
[03:57:52.840244] NRF   WRITE    8      bytes  pid=146207
[03:57:52.840256] NRF   WRITE    1688   bytes  pid=146207
[03:57:52.840257] NRF   READ     8      bytes  pid=146207
[03:57:52.840798] NRF   READ     9      bytes  pid=146207
[03:57:52.840803] NRF   READ     9      bytes  pid=146207
[03:57:52.840855] NRF   READ     9      bytes  pid=146207
[03:57:52.840900] NRF   WRITE    85     bytes  pid=146207
[03:57:52.840912] NRF   READ     123    bytes  pid=146207
[03:57:52.840960] NRF   API      AccessToken               pid=146207 tid=146508
[03:57:52.841120] NRF   WRITE    196    bytes  pid=146207
[03:57:52.841594] NRF   READ     4      bytes  pid=146207
[03:57:52.841602] NRF   READ     2418   bytes  pid=146207
[03:57:52.843407] NRF   READ     1302   bytes  pid=146207
[03:57:52.843541] NRF   WRITE    291    bytes  pid=146207
[03:57:52.843618] NRF   WRITE    157    bytes  pid=146207
[03:57:52.844024] NRF   READ     4      bytes  pid=146207
[03:57:52.844032] NRF   READ     1951   bytes  pid=146207
[03:57:52.848525] NRF   WRITE    112    bytes  pid=146207
[03:57:52.848588] NRF   WRITE    13     bytes  pid=146207
[03:57:52.848690] NRF   WRITE    8      bytes  pid=146207
[03:57:52.848701] NRF   READ     8      bytes  pid=146207
[03:57:52.848723] NRF   WRITE    626    bytes  pid=146207
[03:57:52.849841] NRF   WRITE    17     bytes  pid=146207
[03:57:52.849902] NRF   WRITE    8      bytes  pid=146207
[03:57:52.849914] NRF   READ     8      bytes  pid=146207
[03:57:52.852930] NRF   ACCEPT   ← 10.100.200.9:37738      pid=146207  fd=27
[03:57:52.853034] NRF   READ     328    bytes  pid=146207
[03:57:52.853110] NRF   WRITE    8      bytes  pid=146207
[03:57:52.853190] NRF   WRITE    39     bytes  pid=146207
[03:57:52.853250] NRF   WRITE    22     bytes  pid=146207
[03:57:52.853329] NRF   WRITE    85     bytes  pid=146207
[03:57:52.853614] NRF   READ     8      bytes  pid=146207
[03:57:52.853619] NRF   READ     9      bytes  pid=146207
[03:57:52.853720] NRF   API      AccessToken               pid=146207 tid=146509
[03:57:52.853892] NRF   WRITE    196    bytes  pid=146207
[03:57:52.854346] NRF   READ     4      bytes  pid=146207
[03:57:52.854352] NRF   READ     1951   bytes  pid=146207
[03:57:52.855546] NRF   READ     1302   bytes  pid=146207
[03:57:52.855647] NRF   WRITE    291    bytes  pid=146207
[03:57:52.855975] NRF   WRITE    157    bytes  pid=146207
[03:57:52.856340] NRF   READ     4      bytes  pid=146207
[03:57:52.856347] NRF   READ     730    bytes  pid=146207
[03:57:52.860080] NRF   WRITE    112    bytes  pid=146207
[03:57:52.860349] NRF   WRITE    62     bytes  pid=146207
[03:57:52.860565] NRF   WRITE    8      bytes  pid=146207
[03:57:52.860575] NRF   READ     8      bytes  pid=146207
[03:57:52.860593] NRF   WRITE    621    bytes  pid=146207
[03:57:52.861667] NRF   WRITE    17     bytes  pid=146207
[03:57:52.861758] NRF   WRITE    8      bytes  pid=146207
[03:57:52.861772] NRF   READ     8      bytes  pid=146207
[03:57:52.887189] NRF   ACCEPT   ← 10.100.200.16:50948     pid=146207  fd=28
[03:57:52.888762] NRF   READ     329    bytes  pid=146207
[03:57:52.888858] NRF   WRITE    8      bytes  pid=146207
[03:57:52.888938] NRF   WRITE    39     bytes  pid=146207
[03:57:52.889064] NRF   READ     8      bytes  pid=146207
[03:57:52.889121] NRF   WRITE    85     bytes  pid=146207
[03:57:52.889163] NRF   API      AccessToken               pid=146207 tid=146511
[03:57:52.889281] NRF   WRITE    196    bytes  pid=146207
[03:57:52.889821] NRF   READ     4      bytes  pid=146207
[03:57:52.889829] NRF   READ     2418   bytes  pid=146207
[03:57:52.892222] NRF   READ     9      bytes  pid=146207
[03:57:52.892284] NRF   WRITE    22     bytes  pid=146207
[03:57:52.895473] NRF   READ     1302   bytes  pid=146207
[03:57:52.895651] NRF   WRITE    291    bytes  pid=146207
[03:57:52.895851] NRF   WRITE    157    bytes  pid=146207
[03:57:52.898390] NRF   READ     4      bytes  pid=146207
[03:57:52.898413] NRF   READ     1951   bytes  pid=146207
[03:57:52.902442] NRF   WRITE    112    bytes  pid=146207
[03:57:52.902531] NRF   WRITE    63     bytes  pid=146207
[03:57:52.902663] NRF   WRITE    8      bytes  pid=146207
[03:57:52.902679] NRF   READ     8      bytes  pid=146207
[03:57:52.902699] NRF   WRITE    623    bytes  pid=146207
[03:57:52.903822] NRF   WRITE    17     bytes  pid=146207
[03:57:52.903887] NRF   WRITE    8      bytes  pid=146207
[03:57:52.903898] NRF   READ     8      bytes  pid=146207
[03:57:52.906340] NRF   ACCEPT   ← 10.100.200.9:38730      pid=146207  fd=29
[03:57:52.906439] NRF   READ     328    bytes  pid=146207
[03:57:52.906522] NRF   WRITE    8      bytes  pid=146207
[03:57:52.906568] NRF   READ     8      bytes  pid=146207
[03:57:52.906575] NRF   WRITE    39     bytes  pid=146207
[03:57:52.906640] NRF   WRITE    22     bytes  pid=146207
[03:57:52.906681] NRF   WRITE    85     bytes  pid=146207
[03:57:52.906720] NRF   API      AccessToken               pid=146207 tid=146207
[03:57:52.906849] NRF   WRITE    196    bytes  pid=146207
[03:57:52.906924] NRF   READ     9      bytes  pid=146207
[03:57:52.907397] NRF   READ     4      bytes  pid=146207
[03:57:52.907430] NRF   READ     1951   bytes  pid=146207
[03:57:52.908834] NRF   READ     1302   bytes  pid=146207
[03:57:52.908956] NRF   WRITE    291    bytes  pid=146207
[03:57:52.911096] NRF   WRITE    157    bytes  pid=146207
[03:57:52.911492] NRF   READ     4      bytes  pid=146207
[03:57:52.911499] NRF   READ     730    bytes  pid=146207
[03:57:52.914890] NRF   WRITE    112    bytes  pid=146207
[03:57:52.914958] NRF   WRITE    62     bytes  pid=146207
[03:57:52.915058] NRF   WRITE    8      bytes  pid=146207
[03:57:52.915074] NRF   READ     8      bytes  pid=146207
[03:57:52.915104] NRF   WRITE    621    bytes  pid=146207
[03:57:52.916167] NRF   WRITE    17     bytes  pid=146207
[03:57:52.917372] NRF   WRITE    8      bytes  pid=146207
[03:57:52.917394] NRF   READ     8      bytes  pid=146207
[03:57:52.922488] NRF   ACCEPT   ← 10.100.200.16:53668     pid=146207  fd=30
[03:57:52.922582] NRF   WRITE    8      bytes  pid=146207
[03:57:52.922598] NRF   READ     8      bytes  pid=146207
[03:57:52.922805] NRF   READ     70     bytes  pid=146207
[03:57:52.922917] NRF   WRITE    8      bytes  pid=146207
[03:57:52.922943] NRF   WRITE    39     bytes  pid=146207
[03:57:52.922974] NRF   WRITE    22     bytes  pid=146207
[03:57:52.923039] NRF   READ     8      bytes  pid=146207
[03:57:52.923344] NRF   READ     9      bytes  pid=146207
[03:57:52.923349] NRF   READ     119    bytes  pid=146207
[03:57:52.923464] NRF   WRITE    85     bytes  pid=146207
[03:57:52.923781] NRF   READ     9      bytes  pid=146207
[03:57:52.923808] NRF   READ     122    bytes  pid=146207
[03:57:52.923850] NRF   API      AccessToken               pid=146207 tid=146511
[03:57:52.923974] NRF   WRITE    196    bytes  pid=146207
[03:57:52.924046] NRF   WRITE    8      bytes  pid=146207
[03:57:52.924056] NRF   READ     8      bytes  pid=146207
[03:57:52.924363] NRF   READ     4      bytes  pid=146207
[03:57:52.924370] NRF   READ     2418   bytes  pid=146207
[03:57:52.925524] NRF   READ     1302   bytes  pid=146207
[03:57:52.925627] NRF   WRITE    291    bytes  pid=146207
[03:57:52.925702] NRF   WRITE    157    bytes  pid=146207
[03:57:52.926177] NRF   READ     4      bytes  pid=146207
[03:57:52.926184] NRF   READ     1951   bytes  pid=146207
[03:57:52.930055] NRF   WRITE    112    bytes  pid=146207
[03:57:52.930179] NRF   WRITE    63     bytes  pid=146207
[03:57:52.930273] NRF   WRITE    8      bytes  pid=146207
[03:57:52.930288] NRF   READ     8      bytes  pid=146207
[03:57:52.930311] NRF   WRITE    623    bytes  pid=146207
[03:57:52.931379] NRF   WRITE    17     bytes  pid=146207
[03:57:52.934172] NRF   READ     9      bytes  pid=146207
[03:57:52.934258] NRF   WRITE    8      bytes  pid=146207
[03:57:52.934272] NRF   READ     8      bytes  pid=146207
[03:57:52.937441] NRF   ACCEPT   ← 10.100.200.9:38742      pid=146207  fd=30
[03:57:52.937807] NRF   READ     70     bytes  pid=146207
[03:57:52.938073] NRF   WRITE    8      bytes  pid=146207
[03:57:52.938187] NRF   READ     8      bytes  pid=146207
[03:57:52.938223] NRF   READ     9      bytes  pid=146207
[03:57:52.938227] NRF   READ     119    bytes  pid=146207
[03:57:52.938248] NRF   WRITE    39     bytes  pid=146207
[03:57:52.938339] NRF   WRITE    22     bytes  pid=146207
[03:57:52.938651] NRF   WRITE    85     bytes  pid=146207
[03:57:52.939023] NRF   READ     9      bytes  pid=146207
[03:57:52.939027] NRF   READ     121    bytes  pid=146207
[03:57:52.939046] NRF   READ     9      bytes  pid=146207
[03:57:52.939081] NRF   API      AccessToken               pid=146207 tid=146207
[03:57:52.939206] NRF   WRITE    196    bytes  pid=146207
[03:57:52.939896] NRF   READ     4      bytes  pid=146207
[03:57:52.939904] NRF   READ     1951   bytes  pid=146207
[03:57:52.941360] NRF   READ     1302   bytes  pid=146207
[03:57:52.941480] NRF   WRITE    291    bytes  pid=146207
[03:57:52.941589] NRF   WRITE    157    bytes  pid=146207
[03:57:52.944595] NRF   READ     4      bytes  pid=146207
[03:57:52.944607] NRF   READ     730    bytes  pid=146207
[03:57:52.947938] NRF   WRITE    112    bytes  pid=146207
[03:57:52.948009] NRF   WRITE    62     bytes  pid=146207
[03:57:52.948078] NRF   WRITE    8      bytes  pid=146207
[03:57:52.948092] NRF   WRITE    621    bytes  pid=146207
[03:57:52.953287] NRF   WRITE    17     bytes  pid=146207
[03:57:52.953512] NRF   READ     8      bytes  pid=146207
[03:57:52.953539] NRF   ACCEPT   ← 10.100.200.16:53684     pid=146207  fd=31
[03:57:52.953748] NRF   READ     70     bytes  pid=146207
[03:57:52.953850] NRF   WRITE    39     bytes  pid=146207
[03:57:52.953903] NRF   WRITE    22     bytes  pid=146207
[03:57:52.953933] NRF   READ     9      bytes  pid=146207
[03:57:52.953937] NRF   READ     119    bytes  pid=146207
[03:57:52.953995] NRF   READ     9      bytes  pid=146207
[03:57:52.953999] NRF   READ     122    bytes  pid=146207
[03:57:52.954028] NRF   READ     9      bytes  pid=146207
[03:57:52.954080] NRF   WRITE    85     bytes  pid=146207
[03:57:52.954328] NRF   API      AccessToken               pid=146207 tid=146508
[03:57:52.954487] NRF   WRITE    196    bytes  pid=146207
[03:57:52.988406] NRF   READ     4      bytes  pid=146207
[03:57:52.988429] NRF   READ     2418   bytes  pid=146207
[03:57:52.989884] NRF   READ     1302   bytes  pid=146207
[03:57:52.990022] NRF   WRITE    291    bytes  pid=146207
[03:57:52.990410] NRF   WRITE    157    bytes  pid=146207
[03:57:52.990886] NRF   READ     4      bytes  pid=146207
[03:57:52.990898] NRF   READ     1951   bytes  pid=146207
[03:57:52.995205] NRF   WRITE    112    bytes  pid=146207
[03:57:52.995540] NRF   WRITE    63     bytes  pid=146207
[03:57:52.995656] NRF   WRITE    8      bytes  pid=146207
[03:57:52.995671] NRF   READ     8      bytes  pid=146207
[03:57:52.995689] NRF   WRITE    623    bytes  pid=146207
[03:57:52.996756] NRF   WRITE    17     bytes  pid=146207
[03:57:53.017922] NRF   ACCEPT   ← 10.100.200.9:38750      pid=146207  fd=31
[03:57:53.018053] NRF   READ     328    bytes  pid=146207
[03:57:53.018223] NRF   WRITE    8      bytes  pid=146207
[03:57:53.018243] NRF   READ     8      bytes  pid=146207
[03:57:53.018251] NRF   WRITE    39     bytes  pid=146207
[03:57:53.018409] NRF   WRITE    85     bytes  pid=146207
[03:57:53.018435] NRF   WRITE    22     bytes  pid=146207
[03:57:53.018755] NRF   READ     9      bytes  pid=146207
[03:57:53.018799] NRF   API      AccessToken               pid=146207 tid=146510
[03:57:53.018928] NRF   WRITE    196    bytes  pid=146207
[03:57:53.019357] NRF   READ     4      bytes  pid=146207
[03:57:53.019363] NRF   READ     1951   bytes  pid=146207
[03:57:53.020582] NRF   READ     1302   bytes  pid=146207
[03:57:53.020687] NRF   WRITE    291    bytes  pid=146207
[03:57:53.021124] NRF   WRITE    157    bytes  pid=146207
[03:57:53.021555] NRF   READ     4      bytes  pid=146207
[03:57:53.021559] NRF   READ     730    bytes  pid=146207
[03:57:53.025538] NRF   WRITE    112    bytes  pid=146207
[03:57:53.025883] NRF   WRITE    62     bytes  pid=146207
[03:57:53.025997] NRF   WRITE    8      bytes  pid=146207
[03:57:53.026021] NRF   READ     8      bytes  pid=146207
[03:57:53.026042] NRF   WRITE    621    bytes  pid=146207
[03:57:53.027155] NRF   WRITE    17     bytes  pid=146207
[03:57:53.031158] NRF   ACCEPT   ← 10.100.200.16:53686     pid=146207  fd=32
[03:57:53.031278] NRF   READ     70     bytes  pid=146207
[03:57:53.031487] NRF   WRITE    8      bytes  pid=146207
[03:57:53.031499] NRF   READ     8      bytes  pid=146207
[03:57:53.031540] NRF   READ     9      bytes  pid=146207
[03:57:53.031560] NRF   WRITE    39     bytes  pid=146207
[03:57:53.031823] NRF   READ     119    bytes  pid=146207
[03:57:53.031968] NRF   WRITE    85     bytes  pid=146207
[03:57:53.032031] NRF   WRITE    22     bytes  pid=146207
[03:57:53.032073] NRF   READ     9      bytes  pid=146207
[03:57:53.032077] NRF   READ     122    bytes  pid=146207
[03:57:53.032090] NRF   READ     9      bytes  pid=146207
[03:57:53.032352] NRF   API      AccessToken               pid=146207 tid=146207
[03:57:53.032608] NRF   WRITE    196    bytes  pid=146207
[03:57:53.033117] NRF   READ     4      bytes  pid=146207
[03:57:53.033123] NRF   READ     2418   bytes  pid=146207
[03:57:53.034571] NRF   READ     1302   bytes  pid=146207
[03:57:53.034676] NRF   WRITE    291    bytes  pid=146207
[03:57:53.034744] NRF   WRITE    157    bytes  pid=146207
[03:57:53.035336] NRF   READ     4      bytes  pid=146207
[03:57:53.035347] NRF   READ     1951   bytes  pid=146207
[03:57:53.042998] NRF   WRITE    112    bytes  pid=146207
[03:57:53.043087] NRF   WRITE    63     bytes  pid=146207
[03:57:53.043173] NRF   WRITE    8      bytes  pid=146207
[03:57:53.043216] NRF   READ     8      bytes  pid=146207
[03:57:53.043248] NRF   WRITE    623    bytes  pid=146207
[03:57:53.046171] NRF   WRITE    17     bytes  pid=146207
[03:57:53.046400] NRF   WRITE    8      bytes  pid=146207
[03:57:53.046412] NRF   READ     8      bytes  pid=146207
[03:57:53.048342] NRF   ACCEPT   ← 10.100.200.9:38764      pid=146207  fd=33
[03:57:53.048641] NRF   READ     328    bytes  pid=146207
[03:57:53.048744] NRF   WRITE    8      bytes  pid=146207
[03:57:53.048827] NRF   WRITE    39     bytes  pid=146207
[03:57:53.048982] NRF   WRITE    85     bytes  pid=146207
[03:57:53.049102] NRF   API      AccessToken               pid=146207 tid=146508
[03:57:53.049158] NRF   READ     8      bytes  pid=146207
[03:57:53.049337] NRF   READ     9      bytes  pid=146207
[03:57:53.049443] NRF   WRITE    22     bytes  pid=146207
[03:57:53.049596] NRF   WRITE    196    bytes  pid=146207
[03:57:53.050080] NRF   READ     4      bytes  pid=146207
[03:57:53.050087] NRF   READ     1951   bytes  pid=146207
[03:57:53.051430] NRF   READ     1302   bytes  pid=146207
[03:57:53.051548] NRF   WRITE    291    bytes  pid=146207
[03:57:53.051696] NRF   WRITE    157    bytes  pid=146207
[03:57:53.052062] NRF   READ     4      bytes  pid=146207
[03:57:53.052112] NRF   READ     730    bytes  pid=146207
[03:57:53.056134] NRF   WRITE    112    bytes  pid=146207
[03:57:53.056214] NRF   WRITE    62     bytes  pid=146207
[03:57:53.056357] NRF   WRITE    8      bytes  pid=146207
[03:57:53.056368] NRF   READ     8      bytes  pid=146207
[03:57:53.056385] NRF   WRITE    621    bytes  pid=146207
[03:57:53.057478] NRF   WRITE    17     bytes  pid=146207
[03:57:53.062195] NRF   ACCEPT   ← 10.100.200.16:53688     pid=146207  fd=34
[03:57:53.062280] NRF   READ     330    bytes  pid=146207
[03:57:53.062380] NRF   WRITE    8      bytes  pid=146207
[03:57:53.062389] NRF   READ     8      bytes  pid=146207
[03:57:53.062452] NRF   WRITE    39     bytes  pid=146207
[03:57:53.062536] NRF   WRITE    22     bytes  pid=146207
[03:57:53.062632] NRF   WRITE    85     bytes  pid=146207
[03:57:53.062673] NRF   API      AccessToken               pid=146207 tid=146510
[03:57:53.062804] NRF   WRITE    196    bytes  pid=146207
[03:57:53.063140] NRF   READ     9      bytes  pid=146207
[03:57:53.063338] NRF   WRITE    8      bytes  pid=146207
[03:57:53.063350] NRF   READ     8      bytes  pid=146207
[03:57:53.069840] NRF   READ     4      bytes  pid=146207
[03:57:53.069852] NRF   READ     2418   bytes  pid=146207
[03:57:53.071343] NRF   READ     1302   bytes  pid=146207
[03:57:53.071458] NRF   WRITE    291    bytes  pid=146207
[03:57:53.075133] NRF   WRITE    112    bytes  pid=146207
[03:57:53.075211] NRF   WRITE    63     bytes  pid=146207
[03:57:53.075359] NRF   WRITE    8      bytes  pid=146207
[03:57:53.075370] NRF   READ     8      bytes  pid=146207
[03:57:53.075387] NRF   WRITE    626    bytes  pid=146207
[03:57:53.076160] NRF   READ     9      bytes  pid=146207
[03:57:53.076170] NRF   READ     549    bytes  pid=146207
[03:57:53.076301] NRF   READ     1237   bytes  pid=146207
[03:57:53.076584] NRF   WRITE    84     bytes  pid=146207
[03:57:53.076601] NRF   API      NFDiscovery               pid=146207 tid=146509
[03:57:53.076744] NRF   WRITE    449    bytes  pid=146207
[03:57:53.077286] NRF   READ     4      bytes  pid=146207
[03:57:53.077292] NRF   READ     2464   bytes  pid=146207
[03:57:53.078381] NRF   WRITE    217    bytes  pid=146207
[03:57:53.078438] NRF   WRITE    17     bytes  pid=146207
[03:57:53.078557] NRF   WRITE    8      bytes  pid=146207
[03:57:53.078572] NRF   READ     8      bytes  pid=146207
[03:57:53.078589] NRF   WRITE    2152   bytes  pid=146207
[03:57:53.079672] NRF   WRITE    17     bytes  pid=146207
[03:57:53.079757] NRF   WRITE    8      bytes  pid=146207
[03:57:53.079778] NRF   READ     8      bytes  pid=146207
[03:57:53.081727] NRF   ACCEPT   ← 10.100.200.16:53704     pid=146207  fd=35
[03:57:53.082147] NRF   READ     70     bytes  pid=146207
[03:57:53.082255] NRF   WRITE    39     bytes  pid=146207
[03:57:53.082297] NRF   WRITE    22     bytes  pid=146207
[03:57:53.082504] NRF   READ     9      bytes  pid=146207
[03:57:53.082591] NRF   WRITE    8      bytes  pid=146207
[03:57:53.082608] NRF   READ     8      bytes  pid=146207
[03:57:53.082771] NRF   READ     9      bytes  pid=146207
[03:57:53.082807] NRF   READ     123    bytes  pid=146207
[03:57:53.082911] NRF   WRITE    85     bytes  pid=146207
[03:57:53.083495] NRF   READ     9      bytes  pid=146207
[03:57:53.083507] NRF   READ     136    bytes  pid=146207
[03:57:53.083557] NRF   API      AccessToken               pid=146207 tid=146207
[03:57:53.083743] NRF   WRITE    196    bytes  pid=146207
[03:57:53.084315] NRF   READ     4      bytes  pid=146207
[03:57:53.084331] NRF   READ     2418   bytes  pid=146207
[03:57:53.085523] NRF   READ     1302   bytes  pid=146207
[03:57:53.085632] NRF   WRITE    291    bytes  pid=146207
[03:57:53.085687] NRF   WRITE    157    bytes  pid=146207
[03:57:53.086499] NRF   READ     4      bytes  pid=146207
[03:57:53.086520] NRF   READ     2464   bytes  pid=146207
[03:57:53.090927] NRF   WRITE    112    bytes  pid=146207
[03:57:53.091592] NRF   WRITE    63     bytes  pid=146207
[03:57:53.091726] NRF   WRITE    8      bytes  pid=146207
[03:57:53.091758] NRF   READ     8      bytes  pid=146207
[03:57:53.091781] NRF   WRITE    656    bytes  pid=146207
[03:57:53.092858] NRF   WRITE    17     bytes  pid=146207
[03:57:53.092928] NRF   WRITE    8      bytes  pid=146207
[03:57:53.092947] NRF   READ     8      bytes  pid=146207
[03:57:53.098129] NRF   ACCEPT   ← 10.100.200.11:57562     pid=146207  fd=36
[03:57:53.098284] NRF   READ     328    bytes  pid=146207
[03:57:53.098365] NRF   WRITE    8      bytes  pid=146207
[03:57:53.098441] NRF   WRITE    39     bytes  pid=146207
[03:57:53.098519] NRF   WRITE    22     bytes  pid=146207
[03:57:53.098611] NRF   WRITE    85     bytes  pid=146207
[03:57:53.098659] NRF   API      AccessToken               pid=146207 tid=146509
[03:57:53.098795] NRF   WRITE    196    bytes  pid=146207
[03:57:53.099500] NRF   READ     8      bytes  pid=146207
[03:57:53.099518] NRF   READ     9      bytes  pid=146207
[03:57:53.099567] NRF   WRITE    8      bytes  pid=146207
[03:57:53.099579] NRF   READ     8      bytes  pid=146207
[03:57:53.099636] NRF   READ     4      bytes  pid=146207
[03:57:53.099647] NRF   READ     2464   bytes  pid=146207
[03:57:53.100742] NRF   READ     1302   bytes  pid=146207
[03:57:53.100845] NRF   WRITE    291    bytes  pid=146207
[03:57:53.101163] NRF   WRITE    157    bytes  pid=146207
[03:57:53.101568] NRF   READ     4      bytes  pid=146207
[03:57:53.101584] NRF   READ     730    bytes  pid=146207
[03:57:53.105094] NRF   WRITE    112    bytes  pid=146207
[03:57:53.105413] NRF   WRITE    62     bytes  pid=146207
[03:57:53.105513] NRF   WRITE    8      bytes  pid=146207
[03:57:53.105536] NRF   READ     8      bytes  pid=146207
[03:57:53.105586] NRF   WRITE    621    bytes  pid=146207
[03:57:53.106723] NRF   WRITE    17     bytes  pid=146207
[03:57:53.106860] NRF   WRITE    8      bytes  pid=146207
[03:57:53.106886] NRF   READ     8      bytes  pid=146207
[03:57:53.324939] NRF   ACCEPT   ← 10.100.200.16:53720     pid=146207  fd=37
[03:57:53.325506] NRF   READ     70     bytes  pid=146207
[03:57:53.325617] NRF   WRITE    39     bytes  pid=146207
[03:57:53.325653] NRF   WRITE    22     bytes  pid=146207
[03:57:53.325960] NRF   READ     9      bytes  pid=146207
[03:57:53.325970] NRF   READ     119    bytes  pid=146207
[03:57:53.326101] NRF   READ     9      bytes  pid=146207
[03:57:53.326180] NRF   WRITE    85     bytes  pid=146207
[03:57:53.326230] NRF   READ     123    bytes  pid=146207
[03:57:53.326291] NRF   READ     9      bytes  pid=146207
[03:57:53.326353] NRF   API      AccessToken               pid=146207 tid=146510
[03:57:53.326610] NRF   WRITE    196    bytes  pid=146207
[03:57:53.327081] NRF   READ     4      bytes  pid=146207
[03:57:53.327087] NRF   READ     2418   bytes  pid=146207
[03:57:53.328517] NRF   READ     1302   bytes  pid=146207
[03:57:53.328623] NRF   WRITE    291    bytes  pid=146207
[03:57:53.331710] NRF   WRITE    112    bytes  pid=146207
[03:57:53.331796] NRF   WRITE    63     bytes  pid=146207
[03:57:53.331916] NRF   WRITE    8      bytes  pid=146207
[03:57:53.331933] NRF   READ     8      bytes  pid=146207
[03:57:53.331953] NRF   WRITE    626    bytes  pid=146207
[03:57:53.332622] NRF   READ     9      bytes  pid=146207
