[*] Looking for NRF container process...
    pid=146207
    exe=/proc/146207/exe
    cgroup_id=25914

[*] Attaching uprobes...
  [uprobe] nrf_nf_register               github.com/free5gc/nrf/internal/sbi/processor.(*Processor).NFRegisterProcedure
  [uprobe] nrf_nf_deregister             github.com/free5gc/nrf/internal/sbi/processor.(*Processor).NFDeregisterProcedure
  [uprobe] nrf_get_nf_inst               github.com/free5gc/nrf/internal/sbi/processor.(*Processor).GetNFInstanceProcedure
  [uprobe] nrf_get_nf_inst_list          github.com/free5gc/nrf/internal/sbi/processor.(*Processor).GetNFInstancesProcedure
  [uprobe] nrf_update_nf_inst            github.com/free5gc/nrf/internal/sbi/processor.(*Processor).UpdateNFInstanceProcedure
  [uprobe] nrf_create_sub                github.com/free5gc/nrf/internal/sbi/processor.(*Processor).CreateSubscriptionProcedure
  [uprobe] nrf_remove_sub                github.com/free5gc/nrf/internal/sbi/processor.(*Processor).RemoveSubscriptionProcedure
  [uprobe] nrf_update_sub                github.com/free5gc/nrf/internal/sbi/processor.(*Processor).UpdateSubscriptionProcedure
  [uprobe] nrf_access_token              github.com/free5gc/nrf/internal/sbi/processor.(*Processor).AccessTokenProcedure
  [uprobe] nrf_nf_discovery              github.com/free5gc/nrf/internal/sbi/processor.(*Processor).NFDiscoveryProcedure
[*] Attaching tracepoints...
  [tp]     syscalls/sys_enter_connect
  [tp]     syscalls/sys_exit_connect
  [tp]     syscalls/sys_enter_accept4
  [tp]     syscalls/sys_exit_accept4
  [tp]     syscalls/sys_enter_write
  [tp]     syscalls/sys_exit_read

[*] Tracing NRF (pid=146207). Ctrl+C to stop.

TIMESTAMP               NF    EVENT      DETAIL
──────────────────────  ────  ─────────  ────────────────────────────────
[03:57:52.676333] NRF   WRITE    17     bytes  pid=146207
[03:57:52.678848] NRF   ACCEPT   ← 10.100.200.10:41652     pid=146207  fd=8
[03:57:52.678980] NRF   READ     70     bytes  pid=146207
[03:57:52.679156] NRF   WRITE    39     bytes  pid=146207
[03:57:52.679227] NRF   READ     9      bytes  pid=146207
[03:57:52.679233] NRF   READ     119    bytes  pid=146207
[03:57:52.679327] NRF   WRITE    85     bytes  pid=146207
[03:57:52.679329] NRF   READ     9      bytes  pid=146207
[03:57:52.679355] NRF   READ     124    bytes  pid=146207
[03:57:52.679532] NRF   READ     9      bytes  pid=146207
[03:57:52.679593] NRF   WRITE    22     bytes  pid=146207
[03:57:52.679694] NRF   API      AccessToken               pid=146207 tid=148452
[03:57:52.679860] NRF   WRITE    196    bytes  pid=146207
[03:57:52.680319] NRF   READ     4      bytes  pid=146207
[03:57:52.680326] NRF   READ     666    bytes  pid=146207
[03:57:52.680911] NRF   READ     1302   bytes  pid=146207
[03:57:52.681043] NRF   WRITE    291    bytes  pid=146207
[03:57:52.683939] NRF   WRITE    112    bytes  pid=146207
[03:57:52.684233] NRF   WRITE    63     bytes  pid=146207
[03:57:52.684381] NRF   WRITE    8      bytes  pid=146207
[03:57:52.684394] NRF   WRITE    626    bytes  pid=146207
[03:57:52.684432] NRF   READ     8      bytes  pid=146207
[03:57:52.685275] NRF   READ     9      bytes  pid=146207
[03:57:52.685291] NRF   READ     535    bytes  pid=146207
[03:57:52.685411] NRF   READ     1237   bytes  pid=146207
[03:57:52.685687] NRF   WRITE    84     bytes  pid=146207
[03:57:52.685706] NRF   API      NFDiscovery               pid=146207 tid=146207
[03:57:52.685911] NRF   WRITE    356    bytes  pid=146207
[03:57:52.686380] NRF   READ     4      bytes  pid=146207
[03:57:52.686387] NRF   READ     1951   bytes  pid=146207
[03:57:52.687563] NRF   WRITE    191    bytes  pid=146207
[03:57:52.687885] NRF   WRITE    17     bytes  pid=146207
[03:57:52.688077] NRF   WRITE    8      bytes  pid=146207
[03:57:52.688120] NRF   READ     8      bytes  pid=146207
[03:57:52.688181] NRF   WRITE    1688   bytes  pid=146207
[03:57:52.688734] NRF   READ     9      bytes  pid=146207
[03:57:52.688746] NRF   READ     9      bytes  pid=146207
[03:57:52.688797] NRF   READ     9      bytes  pid=146207
[03:57:52.688828] NRF   READ     124    bytes  pid=146207
[03:57:52.688888] NRF   WRITE    85     bytes  pid=146207
[03:57:52.689195] NRF   API      AccessToken               pid=146207 tid=146511
[03:57:52.689396] NRF   WRITE    196    bytes  pid=146207
[03:57:52.689803] NRF   READ     4      bytes  pid=146207
[03:57:52.689815] NRF   READ     666    bytes  pid=146207
[03:57:52.690346] NRF   READ     1302   bytes  pid=146207
[03:57:52.690444] NRF   WRITE    291    bytes  pid=146207
[03:57:52.690764] NRF   WRITE    157    bytes  pid=146207
[03:57:52.691209] NRF   READ     4      bytes  pid=146207
[03:57:52.691216] NRF   READ     1951   bytes  pid=146207
[03:57:52.694941] NRF   WRITE    112    bytes  pid=146207
[03:57:52.695280] NRF   WRITE    13     bytes  pid=146207
[03:57:52.695408] NRF   WRITE    8      bytes  pid=146207
[03:57:52.695427] NRF   READ     8      bytes  pid=146207
[03:57:52.695474] NRF   WRITE    626    bytes  pid=146207
[03:57:52.696534] NRF   WRITE    17     bytes  pid=146207
[03:57:52.698924] NRF   ACCEPT   ← 10.100.200.9:37716      pid=146207  fd=9
[03:57:52.699279] NRF   READ     70     bytes  pid=146207
[03:57:52.699400] NRF   WRITE    8      bytes  pid=146207
[03:57:52.699428] NRF   WRITE    39     bytes  pid=146207
[03:57:52.699463] NRF   WRITE    22     bytes  pid=146207
[03:57:52.699504] NRF   READ     8      bytes  pid=146207
[03:57:52.699736] NRF   READ     9      bytes  pid=146207
[03:57:52.699920] NRF   WRITE    8      bytes  pid=146207
[03:57:52.699933] NRF   READ     8      bytes  pid=146207
[03:57:52.700024] NRF   READ     9      bytes  pid=146207
[03:57:52.700052] NRF   READ     122    bytes  pid=146207
[03:57:52.700154] NRF   WRITE    85     bytes  pid=146207
[03:57:52.700465] NRF   READ     9      bytes  pid=146207
[03:57:52.700470] NRF   READ     121    bytes  pid=146207
[03:57:52.700551] NRF   API      AccessToken               pid=146207 tid=146207
[03:57:52.700725] NRF   WRITE    196    bytes  pid=146207
[03:57:52.701132] NRF   READ     4      bytes  pid=146207
[03:57:52.701138] NRF   READ     1951   bytes  pid=146207
[03:57:52.702106] NRF   READ     1302   bytes  pid=146207
[03:57:52.702195] NRF   WRITE    291    bytes  pid=146207
[03:57:52.702508] NRF   WRITE    157    bytes  pid=146207
[03:57:52.702859] NRF   READ     4      bytes  pid=146207
[03:57:52.702867] NRF   READ     730    bytes  pid=146207
[03:57:52.706145] NRF   WRITE    112    bytes  pid=146207
[03:57:52.706525] NRF   WRITE    62     bytes  pid=146207
